raw-pancreas-human-Baron.h5ad,raw-pancreas-mouse-Baron.h5ad
TMEM198,Tmem198
SEL1L2,Sel1l2
IQCB1,Iqcb1
RPL11,Rpl11
CHRNB3,Chrnb3
BCL3,Bcl3
MEOX1,Meox1
PRADC1,Pradc1
RBM48,Rbm48
ARV1,Arv1
AMN1,Amn1
SNRNP35,Snrnp35
PPP1R15A,Ppp1r15a
CYP4X1,Cyp4x1
AMZ1,Amz1
C1orf232,Gm30191
MRPS33,Mrps33
NUCB1,Nucb1
SYTL1,Sytl1
RP2,Rp2
APOD,Apod
GATAD1,Gatad1
HOMER2,Homer2
PPP1CC,Ppp1cc
CCT7,Cct7
GABRR1,Gabrr1
BEND3,Bend3
BRF1,Brf1
SMC2,Smc2
CPEB4,Cpeb4
GNA12,Gna12
PEX1,Pex1
EIF4E1B,Eif4e1b
ANGPTL8,Angptl8
SRA1,Sra1
HOXB1,Hoxb1
ARHGAP10,Arhgap10
ABCB9,Abcb9
FAM126A,Fam126a
SLC25A3,Slc25a3
NUS1,Nus1
ZAN,Zan
ZNF205,Zfp13
BTBD6,Btbd6
ANGPTL3,Angptl3
RGS22,Rgs22
BMP6,Bmp6
ZCCHC10,Zcchc10
LIG1,Lig1
DNMT1,Dnmt1
IVNS1ABP,Ivns1abp
MCC,Mcc
TMEM255A,Tmem255a
ORAI1,Orai1
SLC26A3,Slc26a3
TXNDC5,Txndc5
MROH6,Mroh6
SPACA9,Spaca9
TUBA3D,Tuba3a
C5orf47,4930524B15Rik
SMAD5,Smad5
NTM,Ntm
MARS1,Mars1
RNF34,Rnf34
MFN2,Mfn2
CDK5R1,Cdk5r1
TMEM178B,Tmem178b
AC097634.4,Foxp1
RASAL1,Rasal1
ATP13A1,Atp13a1
CCDC27,Ccdc27
CENPT,Cenpt
TSPAN12,Tspan12
ADAMTS18,Adamts18
KDM2B,Kdm2b
CHRNA6,Chrna6
RRP8,Rrp8
RNF14,Rnf14
ZBTB33,Zbtb33
TULP2,Tulp2
FAM110D,Grrp1
RILPL1,Rilpl1
AZGP1,Azgp1
CDK12,Cdk12
OR11G2,Olfr738
FAM89A,Fam89a
POLE3,Pole3
CRYZL1,Cryzl1
CDC25B,Cdc25b
NBN,Nbn
EIF1,Eif1
H2AZ2,H2az2
PRPF38A,Prpf38a
RPTOR,Rptor
TSNAXIP1,Tsnaxip1
AK8,Ak8
PLEKHF1,Plekhf1
CLPB,Clpb
TAF10,Taf10
CACNG7,Cacng7
PCGF5,Pcgf5
LIN7C,Lin7c
SMIM31,Smim31
OR6B1,Olfr449
BCL11A,Bcl11a
SLF2,Slf2
ILK,Ilk
CCNG1,Ccng1
SAMD9L,Samd9l
SNRPD1,Snrpd1
ORC1,Orc1
SLCO2B1,Slco2b1
NAPG,Napg
CCDC178,Ccdc178
TARS1,Tars
MFSD6,Mfsd6
ODF1,Odf1
LRFN4,Lrfn4
MSI1,Msi1
C2orf76,3110009E18Rik
CACNG8,Cacng8
PC,Pcx
HPS6,Hps6
TGFBR1,Tgfbr1
PRR14,Prr14
ARMH3,Armh3
ZKSCAN1,Zkscan1
MYO3A,Myo3a
HEPACAM2,Hepacam2
CCNC,Ccnc
NME1,Nme1
SLC17A7,Slc17a7
SOST,Sost
PPCS,Ppcs
NKG7,Nkg7
SMIM32,Gm45623
CNOT4,Cnot4
CACNG6,Cacng6
SYCE1,Syce1
PEX26,Pex26
RHOBTB1,Rhobtb1
NME1-NME2,Gm20390
CCDC66,Ccdc66
NME2,Nme2
FXYD4,Fxyd4
IFT80,Ift80
ZNF689,Zfp689
DLG4,Dlg4
SMU1,Smu1
DAAM1,Daam1
ZFYVE26,Zfyve26
MRPL21,Mrpl21
GAST,Gast
OR2A5,Olfr448
EID2,Eid2
HECW1,Hecw1
EID2B,Eid2b
NPTX2,Nptx2
MSLNL,Mslnl
AKAP6,Akap6
LSM7,Lsm7
SPEF1,Spef1
BDH1,Bdh1
C1orf116,AA986860
MSI2,Msi2
EIF3A,Eif3a
RBM3,Rbm3
SMIM12,Smim12
TASOR,Tasor
IGHMBP2,Ighmbp2
OR2A25,Olfr447
DDO,Ddo
GJA4,Gja4
OR2A12,Olfr446
ITSN1,Itsn1
YBX3,Ybx3
CD47,Cd47
LTBR,Ltbr
BHLHA9,Bhlha9
ALG2,Alg2
TRARG1,Trarg1
C9orf43,4933430I17Rik
RIMKLA,Rimkla
SYNRG,Synrg
AL353572.3,Gm47429
TUBA8,Tuba8
RIC8A,Ric8a
CAMK2G,Camk2g
MCMDC2,Mcmdc2
CENPB,Cenpb
MTRES1,Mtres1
KITLG,Kitl
ZMYND12,Zmynd12
C20orf27,1700037H04Rik
C1orf185,4930522H14Rik
TNFSF4,Tnfsf4
SELENOV,Selenov
UVSSA,Uvssa
PTPRU,Ptpru
ADCYAP1R1,Adcyap1r1
GABRG2,Gabrg2
DCTN4,Dctn4
MYH11,Myh11
MAB21L1,Mab21l1
TNFSF18,Tnfsf18
INTU,Intu
HNRNPA3,Hnrnpa3
NBEA,Nbea
PURB,Purb
SKOR2,Skor2
OR11H6,Olfr745
TMEM68,Tmem68
ZNF541,Zfp541
DMAC2L,Dmac2l
PRMT9,Prmt9
WDCP,Wdcp
TMED2,Tmed2
SPECC1,Specc1
CFAP97D1,Cfap97d1
SYNPR,Synpr
ULK1,Ulk1
NSG2,Nsg2
ATP1B4,Atp1b4
SIDT1,Sidt1
OSGIN2,Osgin2
JADE3,Jade3
USP45,Usp45
NOL10,Nol10
GFY,Gfy
ALPK2,Alpk2
RPS13,Rps13
MYOM2,Myom2
CALB2,Calb2
TMEM184C,Tmem184c
DLL3,Dll3
ODF3,Odf3
DTX1,Dtx1
ZNF787,Zfp787
POP4,Pop4
ROBO2,Robo2
WDFY1,Wdfy1
PEX7,Pex7
SIRT3,Sirt3
CA13,Car13
PKNOX2,Pknox2
PCDH15,Pcdh15
CMTR2,Cmtr2
SBDS,Sbds
PTH2,Pth2
NAPA,Napa
NAPRT,Naprt
SH2D5,Sh2d5
SEMA3D,Sema3d
HK1,Hk1
RAB10,Rab10
STK36,Stk36
EDNRA,Ednra
RNF112,Rnf112
SYT13,Syt13
HAP1,Hap1
ZSWIM9,Zswim9
MYO1D,Myo1d
CDKL1,Cdkl1
CC2D1B,Cc2d1b
TNS3,Tns3
ZBTB5,Zbtb5
KIF17,Kif17
SENP7,Senp7
CRISP2,Crisp2
PM20D2,Pm20d2
SLC25A45,Slc25a45
PSMD13,Psmd13
MAP4K5,Map4k5
TCF3,Tcf3
EEF1D,Eef1d
NPAS3,Npas3
AQP4,Aqp4
FADS3,Fads3
SMOC2,Smoc2
NUAK1,Nuak1
RIPK2,Ripk2
YTHDC2,Ythdc2
SNTN,Sntn
BTBD1,Btbd1
DDX4,Ddx4
FASLG,Fasl
MRPL44,Mrpl44
CA1,Car1
RASGEF1C,Rasgef1c
KASH5,Ccdc155
C15orf40,3110040N11Rik
TAS2R7,Tas2r130
COG6,Cog6
NMT2,Nmt2
KLHL7,Klhl7
NKX1-1,Nkx1-1
OR2AT4,Olfr520
METTL24,Mettl24
ERICH4,Erich4
TMEM222,Tmem222
DPP3,Dpp3
KIAA1328,AW554918
ENOX2,Enox2
UQCRFS1,Uqcrfs1
RESF1,Resf1
PIK3C2A,Pik3c2a
GJB3,Gjb3
PRR7,Prr7
NUP210,Nup210
TLR1,Tlr1
CLDND2,Cldnd2
SRSF12,Srsf12
FZD8,Fzd8
OR2A2,Olfr437
AGK,Agk
SCAMP1,Scamp1
MACROD2,Macrod2
GJD4,Gjd4
SERAC1,Serac1
NR4A3,Nr4a3
RBM22,Rbm22
DGUOK,Dguok
FHOD3,Fhod3
RBM47,Rbm47
RNF151,Rnf151
GNPNAT1,Gnpnat1
PNRC1,Pnrc1
DTWD2,Dtwd2
ZNF444,Zfp444
C11orf91,A930018P22Rik
TMEM130,Tmem130
TARM1,Tarm1
HDHD2,Hdhd2
DDX1,Ddx1
KIF2A,Kif2a
TIMM50,Timm50
ASXL3,Asxl3
RPP38,Rpp38
TPM2,Tpm2
FADS2,Fads2
FCAMR,Fcamr
DMAC2,Dmac2
TGS1,Tgs1
STEAP3,Steap3
ZSCAN21,Zscan21
EIF5B,Eif5b
ATXN7,Atxn7
FLRT3,Flrt3
SLC25A31,Slc25a31
PDIK1L,Pdik1l
C9orf72,C9orf72
GJB4,Gjb4
ACBD7,Acbd7
HAO2,Hao2
IL9R,Il9r
SCLY,Scly
SDR9C7,Sdr9c7
NUDT7,Nudt7
MYOZ3,Myoz3
B3GNT8,B3gnt8
OSCAR,Oscar
OR13F1,Olfr275
EGLN3,Egln3
ADGB,Adgb
TLR6,Tlr6
TTC5,Ttc5
LTN1,Ltn1
ZNF777,Zfp777
SYNJ2,Synj2
SLC27A3,Slc27a3
C3orf49,Gm11100
FBXO41,Fbxo41
INPP1,Inpp1
REV1,Rev1
ID3,Id3
GPATCH1,Gpatch1
ATL1,Atl1
CEACAM16,Ceacam16
FARP2,Farp2
NUDCD3,Nudcd3
THOC7,Thoc7
OLAH,Olah
MSRB3,Msrb3
THBS2,Thbs2
TRIM67,Trim67
OR13C3,Olfr273
SPAG5,Spag5
ADD1,Add1
GJB5,Gjb5
ABHD3,Abhd3
C1QL2,C1ql2
TPGS2,Tpgs2
VMP1,Vmp1
FAM53A,Fam53a
CARD11,Card11
GOSR1,Gosr1
SUCO,Suco
SAV1,Sav1
NEUROD2,Neurod2
PPP1R42,Ppp1r42
DECR2,Decr2
E2F6,E2f6
STK25,Stk25
PRRC2B,Prrc2b
GNPAT,Gnpat
NDUFB10,Ndufb10
ARHGEF5,Arhgef5
RWDD1,Rwdd1
SUMO2,Sumo2
MYRFL,Myrfl
SKIDA1,Skida1
EGR4,Egr4
RCE1,Rce1
TIGD3,Tigd3
SLC35A4,Slc35a4
CHST9,Chst9
TMEM131L,Tmem131l
APBB3,Apbb3
SLC7A2,Slc7a2
ZFPL1,Zfpl1
GNPDA1,Gnpda1
MSLN,Msln
NDUFA3,Ndufa3
SLC35F1,Slc35f1
PLA2G1B,Pla2g1b
TCF24,Tcf24
ANAPC1,Anapc1
DNAJB9,Dnajb9
MRPL55,Mrpl55
DKKL1,Dkkl1
C1orf94,CK137956
IL15RA,Il15ra
GTF3C4,Gtf3c4
EIF4E3,Eif4e3
FBXO43,Fbxo43
TFPT,Tfpt
MLLT10,Mllt10
SLC6A13,Slc6a13
KCNT1,Kcnt1
OR13C8,Olfr272
SNX19,Snx19
GALNTL6,Galntl6
CHMP6,Chmp6
C1orf131,2810004N23Rik
CDH20,Cdh20
CDC40,Cdc40
B3GNT5,B3gnt5
CLIC3,Clic3
VSIG10L,Vsig10l
TTLL11,Ttll11
CA3,Car3
FOXJ3,Foxj3
ELOC,Eloc
KIAA1549L,D430041D05Rik
C1orf35,2310033P09Rik
DIMT1,Dimt1
ZNF76,Zfp523
CEACAM19,Ceacam19
GALP,Galp
SUCLG1,Suclg1
NUP42,Nupl2
VPS51,Vps51
PRDM11,Prdm11
RGN,Rgn
OGFOD2,Ogfod2
ANKAR,Ankar
HSCB,Hscb
AFF4,Aff4
LYN,Lyn
MFSD2B,Mfsd2b
CCNB1IP1,Ccnb1ip1
FAM114A1,Fam114a1
ADORA2B,Adora2b
C6orf62,BC005537
PAXX,Paxx
NEU3,Neu3
PNPLA8,Pnpla8
RAD51B,Rad51b
KLF10,Klf10
TMEM120A,Tmem120a
VAT1L,Vat1l
MRPL32,Mrpl32
NMUR1,Nmur1
LAMP2,Lamp2
TMEM262,Tmem262
DNAJC1,Dnajc1
HIBCH,Hibch
TM7SF2,Tm7sf2
TMEM156,Tmem156
CLEC3A,Clec3a
ARF1,Arf1
NOL4,Nol4
STAT3,Stat3
C6orf58,2310057J18Rik
RBM10,Rbm10
TTC29,Ttc29
ACTG2,Actg2
OAS2,Oas2
LGR4,Lgr4
ZSWIM7,Zswim7
RPL3L,Rpl3l
GPR135,Gpr135
WDR12,Wdr12
IFNB1,Ifnb1
WNT3A,Wnt3a
NUP85,Nup85
DNAJC6,Dnajc6
MIDN,Midn
TEX44,Tex44
ZFYVE9,Zfyve9
DDX31,Ddx31
SNRNP25,Snrnp25
TMTC3,Tmtc3
DNAJC21,Dnajc21
ACSL1,Acsl1
SPCS2,Spcs2
FYB1,Fyb
ARHGAP15,Arhgap15
RNGTT,Rngtt
CCNY,Ccny
DENND11,Dennd11
AKAP1,Akap1
DMXL1,Dmxl1
VPS41,Vps41
PPP1R1B,Ppp1r1b
RASGEF1A,Rasgef1a
XRRA1,Xrra1
TRAPPC3L,Trappc3l
SON,Son
E2F2,E2f2
LHFPL6,Lhfp
TCF4,Tcf4
CALHM5,Calhm5
CALHM4,Calhm4
FAM98C,Fam98c
EIF4A1,Eif4a1
CKAP4,Ckap4
TM6SF1,Tm6sf1
KLHL23,Klhl23
INTS3,Ints3
ESPNL,Espnl
TMEM98,Tmem98
CLINT1,Clint1
FBRS,Fbrs
TRIM63,Trim63
HECTD2,Hectd2
NUP160,Nup160
REPS1,Reps1
ARHGEF1,Arhgef1
GOT2,Got2
HSD17B6,Hsd17b6
GAD2,Gad2
CC2D1A,Cc2d1a
TTC23,Ttc23
KDM5D,Kdm5d
SCUBE3,Scube3
PVR,Pvr
CALN1,Caln1
RWDD2B,Rwdd2b
MYO1G,Myo1g
SEMA6C,Sema6c
NF2,Nf2
RASGRP4,Rasgrp4
PIGR,Pigr
INPPL1,Inppl1
HDGFL3,Hdgfl3
CREG1,Creg1
TMEM218,Tmem218
CA2,Car2
SELENOP,Selenop
CARF,Carf
RAB3IP,Rab3ip
TPP2,Tpp2
POU4F2,Pou4f2
WARS2,Wars2
L3HYPDH,L3hypdh
ODC1,Odc1
DDOST,Ddost
EMILIN1,Emilin1
RHAG,Rhag
NDUFA8,Ndufa8
CCDC152,Ccdc152
CDCA7,Cdca7
WNT9A,Wnt9a
EPO,Epo
MORN5,Morn5
PRSS38,Prss38
CYP2F1,Cyp2f2
FAM149B1,Fam149b
UBE4B,Ube4b
ALDH18A1,Aldh18a1
CD14,Cd14
SPACA3,Spaca3
KPTN,Kptn
GIGYF1,Gigyf1
HDAC11,Hdac11
ACOT13,Acot13
PTPN22,Ptpn22
SLC34A3,Slc34a3
OR13D1,Olfr270
GDF7,Gdf7
MAX,Max
ZNF746,Zfp746
DONSON,Donson
PELI3,Peli3
SIRT4,Sirt4
MADD,Madd
DNM3,Dnm3
PTRH2,Ptrh2
GNAZ,Gnaz
ALMS1,Alms1
THAP11,Thap11
GNB2,Gnb2
B4GALT1,B4galt1
RSPH14,Rsph14
MARCHF1,Marchf1
MND1,Mnd1
MIB1,Mib1
SCNN1A,Scnn1a
CHEK2,Chek2
IRAG2,Lrmp
EGLN2,Egln2
KIAA0408,9330159F19Rik
PDGFRL,Pdgfrl
TMEM70,Tmem70
PLEKHG1,Plekhg1
PDE7B,Pde7b
PHOX2A,Phox2a
NPC1L1,Npc1l1
C7orf25,AW209491
FOLR2,Folr2
NGB,Ngb
CPD,Cpd
LDB1,Ldb1
SYNM,Synm
YLPM1,Ylpm1
OAS3,Oas3
CD247,Cd247
IGSF23,Igsf23
CNR1,Cnr1
TCP11L2,Tcp11l2
TNFAIP8,Tnfaip8
FCMR,Fcmr
GCHFR,Gchfr
DCC,Dcc
SKAP1,Skap1
LY96,Ly96
SLC22A8,Slc22a8
MALT1,Malt1
ADAM12,Adam12
MUC5B,Muc5b
LINGO2,Lingo2
LSM11,Lsm11
PCNX3,Pcnx3
PLEKHA5,Plekha5
ANKRD42,Ankrd42
SYNGR4,Syngr4
FAM171A2,Fam171a2
PIGC,Pigc
C2orf88,1700019D03Rik
SLF1,Slf1
TMCO6,Tmco6
TBC1D25,Tbc1d25
SPINK4,Spink4
C1orf105,4930558K02Rik
GRN,Grn
CFAP94,Casc1
KIAA1217,Etl4
SLC8A2,Slc8a2
GLMP,Glmp
GTDC1,Gtdc1
HS1BP3,Hs1bp3
AP3B1,Ap3b1
SEMA4G,Sema4g
SLBP,Slbp
NDUFA2,Ndufa2
PARP2,Parp2
MERTK,Mertk
DHX15,Dhx15
RNF224,Rnf224
MARCO,Marco
SLC22A6,Slc22a6
SH2B1,Sh2b1
WDTC1,Wdtc1
CYSRT1,Cysrt1
TXNDC12,Txndc12
TMEM79,Tmem79
UTRN,Utrn
CAMSAP3,Camsap3
RAB3D,Rab3d
DHCR7,Dhcr7
SPTSSA,Sptssa
VRK2,Vrk2
FOXJ1,Foxj1
LAX1,Lax1
SLC10A7,Slc10a7
ZFYVE19,Zfyve19
PPP1R10,Ppp1r10
BNC1,Bnc1
MEIG1,Meig1
SYNPO,Synpo
ADAMTS15,Adamts15
TMEM129,Tmem129
POP7,Pop7
PPRC1,Pprc1
SWT1,Swt1
SLC6A12,Slc6a12
FUT8,Fut8
ANKRD28,Ankrd28
IL24,Il24
POU2F1,Pou2f1
EHMT2,Ehmt2
DMBX1,Dmbx1
JPH1,Jph1
CCDC34,Ccdc34
P2RX1,P2rx1
TACC3,Tacc3
RNF130,Rnf130
CCDC90B,Ccdc90b
FANCL,Fancl
IL20,Il20
OR52P1P,Olfr607
C19orf57,4930432K21Rik
NUP37,Nup37
INAVA,Inava
TBX15,Tbx15
KMT2B,Kmt2b
MAPK1,Mapk1
ASXL2,Asxl2
NACA,Naca
DNAJC17,Dnajc17
STAT5A,Stat5a
TPH1,Tph1
ESPN,Espn
QRSL1,Qrsl1
MAP2,Map2
MAPK7,Mapk7
C15orf62,Gm14137
NLRP10,Nlrp10
EN1,En1
BAIAP2,Baiap2
ZFP36L1,Zfp36l1
POLR2C,Polr2c
ASAP3,Asap3
EIF3F,Eif3f
SIM2,Sim2
TMEM143,Tmem143
RPL37A,Rpl37a
KIF3C,Kif3c
PACS2,Pacs2
IL19,Il19
SMC4,Smc4
SH3GL3,Sh3gl3
CCDC159,Ccdc159
SURF2,Surf2
CBLL1,Cbll1
PITPNM1,Pitpnm1
MAP3K11,Map3k11
XAB2,Xab2
POLR3B,Polr3b
TMPO,Tmpo
MRPL11,Mrpl11
PIGL,Pigl
NTAQ1,Wdyhv1
SNCG,Sncg
TTC19,Ttc19
PTPA,Ptpa
SURF1,Surf1
CPT1A,Cpt1a
MFAP4,Mfap4
ORC5,Orc5
KLHL6,Klhl6
DOK4,Dok4
NIPBL,Nipbl
CAMSAP2,Camsap2
CEP85L,Cep85l
RHOB,Rhob
HMGB1,Hmgb1
AK7,Ak7
MSRB1,Msrb1
GATA6,Gata6
IGFBP2,Igfbp2
WWOX,Wwox
CCT8,Cct8
PKD1L1,Pkd1l1
TTC28,Ttc28
PLN,Pln
MEX3C,Mex3c
KLHL30,Klhl30
DUSP14,Dusp14
TWNK,Twnk
C11orf80,Gm960
TAF2,Taf2
TYRP1,Tyrp1
TMEM205,Tmem205
APBB1IP,Apbb1ip
LEAP2,Leap2
COPS5,Cops5
RIMS1,Rims1
NCOR1,Ncor1
MRPL43,Mrpl43
RNF208,Rnf208
BARHL1,Barhl1
HS3ST6,Hs3st6
NANOS3,Nanos3
CETN1,Cetn1
TMA16,Tma16
MSTN,Mstn
GPR25,Gpr25
EDDM13,Epp13
GDF6,Gdf6
NPR1,Npr1
TMEM203,Tmem203
PPP1R3C,Ppp1r3c
POLG,Polg
NBAS,Nbas
NEUROD6,Neurod6
SLC30A2,Slc30a2
SLC12A1,Slc12a1
SPIN1,Spin1
HPCAL1,Hpcal1
TEX22,Tex22
SURF4,Surf4
ZP2,Zp2
MOS,Mos
UQCRQ,Uqcrq
MMP16,Mmp16
CSGALNACT2,Csgalnact2
KAT7,Kat7
BAG1,Bag1
SVIL,Svil
VPS50,Vps50
CSMD2,Csmd2
SMAD4,Smad4
USPL1,Uspl1
GDF9,Gdf9
ACAP3,Acap3
GDAP1,Gdap1
CEP20,Fopnl
MTUS1,Mtus1
TTLL4,Ttll4
ITPRID1,Itprid1
CDH2,Cdh2
CSPP1,Cspp1
ERFE,Erfe
FGFR1,Fgfr1
TMEM87B,Tmem87b
CACNA2D1,Cacna2d1
HVCN1,Hvcn1
CFAP77,Cfap77
WASF1,Wasf1
USP16,Usp16
JMJD4,Jmjd4
ILKAP,Ilkap
TKTL2,Tktl2
GSTZ1,Gstz1
MAPK10,Mapk10
NPY5R,Npy5r
HMGB4,Hmgb4
NSUN7,Nsun7
PPP1R17,Ppp1r17
AMTN,Amtn
SEMA3A,Sema3a
SPACA1,Spaca1
SHROOM1,Shroom1
SNAP47,Snap47
DNLZ,Dnlz
AMBN,Ambn
CHMP5,Chmp5
NAV3,Nav3
POMT2,Pomt2
TCTN1,Tctn1
GPSM1,Gpsm1
MPP3,Mpp3
CHRM1,Chrm1
TMUB1,Tmub1
ECT2L,Ect2l
ALDOC,Aldoc
ENAM,Enam
CEACAM20,Ceacam20
HSPA4L,Hspa4l
UNC5D,Unc5d
TCEA3,Tcea3
PTGES3,Ptges3
OGFRL1,Ogfrl1
TRPC7,Trpc7
CIRBP,Cirbp
CCDC175,Ccdc175
LHFPL3,Lhfpl3
TDP2,Tdp2
SAAL1,Saal1
SLC38A9,Slc38a9
TNFRSF1A,Tnfrsf1a
STK38,Stk38
ABI1,Abi1
NUP205,Nup205
FNBP4,Fnbp4
EMP3,Emp3
ORC3,Orc3
KLHL9,Klhl9
C6orf141,9130008F23Rik
CST7,Cst7
ZSCAN10,Zscan10
